model,timezero,v1_github_timestamp,v2_github_timestamp,v3_github_timestamp,in_zoltar,Unnamed: 0
BPagano-RtDriven,2021-04-04,04/05/21-09:29:45,,,v1,
BPagano-RtDriven,2021-04-11,04/12/21-09:20:07,04/12/21-14:44:57,,v1,
BPagano-RtDriven,2021-04-11,04/12/21-09:20:07,04/12/21-14:44:57,,v1,
BPagano-RtDriven,2021-04-18,04/19/21-13:46:12,,,v1,
BPagano-RtDriven,2021-04-18,04/19/21-13:46:12,,,v1,
BPagano-RtDriven,2021-04-25,04/26/21-10:06:46,,,v1,
BPagano-RtDriven,2021-04-25,04/26/21-10:06:46,,,v1,
BPagano-RtDriven,2021-05-02,05/03/21-14:06:11,,,v1,
BPagano-RtDriven,2021-05-02,05/03/21-14:06:11,,,v1,
BPagano-RtDriven,2021-05-09,05/09/21-15:48:09,,,v1,
BPagano-RtDriven,2021-05-09,05/09/21-15:48:09,,,v1,
BPagano-RtDriven,2021-05-16,05/17/21-10:58:00,,,v1,
BPagano-RtDriven,2021-05-16,05/17/21-10:58:00,,,v1,
BPagano-RtDriven,2021-05-23,05/24/21-09:51:39,,,v1,
BPagano-RtDriven,2021-05-23,05/24/21-09:51:39,,,v1,
BPagano-RtDriven,2021-05-30,05/31/21-10:09:29,,,v1,
BPagano-RtDriven,2021-05-30,05/31/21-10:09:29,,,v1,
BPagano-RtDriven,2021-06-06,06/07/21-08:27:31,,,v1,
BPagano-RtDriven,2021-06-06,06/07/21-08:27:31,,,v1,
BPagano-RtDriven,2021-06-13,06/14/21-08:50:53,,,v1,
BPagano-RtDriven,2021-06-13,06/14/21-08:50:53,,,v1,
BPagano-RtDriven,2021-06-20,06/21/21-09:46:27,,,v1,
BPagano-RtDriven,2021-06-20,06/21/21-09:46:27,,,v1,
BPagano-RtDriven,2021-06-27,06/27/21-23:03:42,,,v1,
BPagano-RtDriven,2021-06-27,06/27/21-23:03:42,,,v1,
CDDEP-SEIR_MCMC,2020-07-05,07/15/20-16:58:03,,,v1,
CDDEP-SEIR_MCMC,2020-07-05,07/15/20-16:58:03,,,v1,
CDDEP-SEIR_MCMC,2020-07-12,07/15/20-16:58:03,,,v1,
CDDEP-SEIR_MCMC,2020-07-12,07/15/20-16:58:03,,,v1,
CDDEP-SEIR_MCMC,2020-07-19,07/20/20-16:47:13,,,v1,
CDDEP-SEIR_MCMC,2020-07-19,07/20/20-16:47:13,,,v1,
CDDEP-SEIR_MCMC,2020-07-26,07/27/20-18:43:20,,,v1,
CDDEP-SEIR_MCMC,2020-07-26,07/27/20-18:43:20,,,v1,
CDDEP-SEIR_MCMC,2020-08-02,08/03/20-14:49:18,,,v1,
CDDEP-SEIR_MCMC,2020-08-02,08/03/20-14:49:18,,,v1,
CDDEP-SEIR_MCMC,2020-08-09,08/10/20-18:32:31,,,v1,
CDDEP-SEIR_MCMC,2020-08-09,08/10/20-18:32:31,,,v1,
CDDEP-SEIR_MCMC,2020-08-16,08/17/20-21:44:38,,,v1,
CDDEP-SEIR_MCMC,2020-08-16,08/17/20-21:44:38,,,v1,
CEID-Walk,2020-08-09,08/10/20-15:47:43,,,v1,
CEID-Walk,2020-08-09,08/10/20-15:47:43,,,v1,
CEID-Walk,2020-08-16,08/16/20-20:36:17,,,v1,
CEID-Walk,2020-08-16,08/16/20-20:36:17,,,v1,
CEID-Walk,2020-08-23,08/23/20-11:46:51,,,v1,
CEID-Walk,2020-08-23,08/23/20-11:46:51,,,v1,
CEID-Walk,2020-08-30,08/30/20-17:47:07,,,v1,
CEID-Walk,2020-08-30,08/30/20-17:47:07,,,v1,
CEID-Walk,2020-09-06,09/07/20-17:48:40,,,v1,
CEID-Walk,2020-09-06,09/07/20-17:48:40,,,v1,
CEID-Walk,2020-09-13,09/14/20-00:14:07,,,v1,
CEID-Walk,2020-09-13,09/14/20-00:14:07,,,v1,
CEID-Walk,2020-09-20,09/20/20-20:06:41,,,v1,
CEID-Walk,2020-09-20,09/20/20-20:06:41,,,v1,
CEID-Walk,2020-09-27,09/28/20-11:57:47,,,v1,
CEID-Walk,2020-09-27,09/28/20-11:57:47,,,v1,
CEID-Walk,2020-10-04,10/04/20-21:56:14,,,v1,
CEID-Walk,2020-10-04,10/04/20-21:56:14,,,v1,
CEID-Walk,2020-10-11,10/12/20-07:12:54,,,v1,
CEID-Walk,2020-10-11,10/12/20-07:12:54,,,v1,
CEID-Walk,2020-10-18,10/18/20-17:30:25,,,v1,
CEID-Walk,2020-10-18,10/18/20-17:30:25,,,v1,
CEID-Walk,2020-10-25,10/26/20-09:48:07,,,v1,
CEID-Walk,2020-10-25,10/26/20-09:48:07,,,v1,
CEID-Walk,2020-11-01,11/02/20-09:36:33,,,v1,
CEID-Walk,2020-11-01,11/02/20-09:36:33,,,v1,
CEID-Walk,2020-11-09,11/09/20-14:09:03,,,v1,
CEID-Walk,2020-11-09,11/09/20-14:09:03,,,v1,
CEID-Walk,2020-11-16,11/16/20-11:47:12,,,v1,
CEID-Walk,2020-11-16,11/16/20-11:47:12,,,v1,
CEID-Walk,2020-11-23,11/23/20-09:56:35,,,v1,
CEID-Walk,2020-11-23,11/23/20-09:56:35,,,v1,
CEID-Walk,2020-11-30,11/30/20-10:11:16,,,v1,
CEID-Walk,2020-11-30,11/30/20-10:11:16,,,v1,
CEID-Walk,2020-12-07,12/07/20-11:41:01,,,v1,
CEID-Walk,2020-12-07,12/07/20-11:41:01,,,v1,
CEID-Walk,2020-12-14,12/14/20-10:00:34,,,v1,
CEID-Walk,2020-12-14,12/14/20-10:00:34,,,v1,
CEID-Walk,2020-12-21,12/21/20-12:30:11,,,v1,
CEID-Walk,2020-12-21,12/21/20-12:30:11,,,v1,
CEID-Walk,2020-12-28,12/28/20-11:36:18,12/28/20-19:26:42,,v2,
CEID-Walk,2020-12-28,12/28/20-11:36:18,12/28/20-19:26:42,,v2,
CEID-Walk,2021-01-04,01/04/21-12:37:56,,,v1,
CEID-Walk,2021-01-04,01/04/21-12:37:56,,,v1,
CEID-Walk,2021-01-11,01/11/21-10:18:57,,,v1,
CEID-Walk,2021-01-11,01/11/21-10:18:57,,,v1,
CEID-Walk,2021-01-18,01/18/21-12:25:12,,,v1,
CEID-Walk,2021-01-18,01/18/21-12:25:12,,,v1,
