model,sat_fcast_week,n_loc,n_weeks_submit_forecast,n_quant
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-02,56,19,1
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-09,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-16,56,19,3
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-23,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-01-30,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-06,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-13,56,19,5
AIpert-pwllnod,2021-02-20,55,19,5
AIpert-pwllnod,2021-02-20,55,19,5
AIpert-pwllnod,2021-02-20,55,19,5
AIpert-pwllnod,2021-02-20,55,19,5
AIpert-pwllnod,2021-02-20,55,19,5
AIpert-pwllnod,2021-02-20,55,19,5
AIpert-pwllnod,2021-02-20,55,19,5
AIpert-pwllnod,2021-02-20,55,19,5
