model,forecast_date,target_end_date_1wk_ahead,target_group,num_units_eligible,include_overall,seasonal_phase,include_phases
CMU-TimeSeries,2020-09-28,2020-10-03,inc,48,TRUE,summer,TRUE
CMU-TimeSeries,2020-10-05,2020-10-10,inc,48,TRUE,summer,TRUE
CMU-TimeSeries,2020-10-12,2020-10-17,inc,50,TRUE,summer,TRUE
CMU-TimeSeries,2020-10-19,2020-10-24,inc,50,TRUE,summer,TRUE
CMU-TimeSeries,2020-10-26,2020-10-31,inc,50,TRUE,summer,TRUE
CMU-TimeSeries,2020-11-02,2020-11-07,inc,50,TRUE,summer,TRUE
CMU-TimeSeries,2020-11-09,2020-11-14,inc,50,TRUE,summer,TRUE
CMU-TimeSeries,2020-11-16,2020-11-21,inc,50,TRUE,summer,TRUE
CMU-TimeSeries,2020-11-23,2020-11-28,inc,50,TRUE,summer,TRUE
CMU-TimeSeries,2020-11-30,2020-12-05,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2020-12-07,2020-12-12,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2020-12-14,2020-12-19,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2020-12-21,2020-12-26,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2020-12-28,2021-01-02,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-01-04,2021-01-09,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-01-10,2021-01-16,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-01-18,2021-01-23,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-01-25,2021-01-30,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-02-01,2021-02-06,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-02-08,2021-02-13,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-02-15,2021-02-20,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-02-22,2021-02-27,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-03-01,2021-03-06,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-03-08,2021-03-13,inc,50,TRUE,winter,TRUE
CMU-TimeSeries,2021-03-15,2021-03-20,inc,50,TRUE,winter,TRUE
